,Date,Price,Open,High,Low,Change %,Variation,OpenPrice
41,11/01/2019,17.76,16.77,19.71,16.7,0.050300000000000004,5.03%,1.0590339892665475
42,10/01/2019,16.91,17.27,18.6,15.1,0.0096,0.96%,0.9791546033584251
43,09/01/2019,16.75,14.83,19.03,14.29,0.11220000000000001,11.22%,1.129467296021578
44,08/01/2019,15.06,20.28,20.28,14.46,-0.2548,-25.48%,0.742603550295858
45,07/01/2019,20.21,20.26,21.48,19.43,0.0105,1.05%,0.9975320829220138
46,06/01/2019,20.0,21.12,21.74,19.75,-0.0663,-6.63%,0.9469696969696969
47,05/01/2019,21.42,25.04,25.76,21.37,-0.1463,-14.63%,0.8554313099041535
48,04/01/2019,25.09,24.42,26.14,24.24,0.0394,3.94%,1.0274365274365274
49,03/01/2019,24.14,27.37,27.59,23.56,-0.1096,-10.96%,0.8819875776397516
50,02/01/2019,27.11,26.31,27.34,26.25,0.0288,2.88%,1.030406689471684
51,01/01/2019,26.35,26.52,27.99,25.54,-0.019,-1.90%,0.9935897435897436
52,12/01/2018,26.86,30.41,30.41,26.79,-0.1085,-10.85%,0.8832620848405129
53,11/01/2018,30.13,31.64,32.39,30.08,-0.0462,-4.62%,0.9522756005056889
54,10/01/2018,31.59,30.86,32.48,30.46,0.0337,3.37%,1.023655217109527
55,09/01/2018,30.56,28.69,31.1,28.68,0.0712,7.12%,1.0651795050540258
56,08/01/2018,28.53,29.92,30.16,28.08,-0.0374,-3.74%,0.953542780748663
57,07/01/2018,29.64,28.29,29.9,28.11,0.0404,4.04%,1.0477200424178155
58,06/01/2018,28.49,29.0,30.09,28.24,0.0096,0.96%,0.9824137931034482
59,05/01/2018,28.22,29.59,31.15,27.59,-0.0388,-3.88%,0.9537005745184184
60,04/01/2018,29.36,27.63,30.35,27.17,0.0711,7.11%,1.0626131017010496
61,03/01/2018,27.41,28.31,29.36,27.39,-0.0443,-4.43%,0.9682091133874956
62,02/01/2018,28.68,27.43,29.43,27.22,0.054400000000000004,5.44%,1.045570543200875
