Fecha,Último,Apertura,Máximo,Mínimo,% var.,,,
01.07.2012,0.162,"0,2070","0,2090","0,1560",-21.74%,,,
01.07.2013,0.111,"0,1460","0,1560","0,0910",-23.97%,,,
01.07.2014,0.114,"0,1030","0,1120","0,0830",6.54%,,,
01.07.2015,0.316,"0,2780","0,3390","0,2200",18.35%,,,
01.07.2016,0.499,"0,4420","0,5520","0,4170",12.90%,,,
01.07.2017,12.22,12.33,12.71,11.91,-1.29%,,,
01.07.2018,24.17,23.2,24.09,23.08,4.09%,,,
01.07.2019,20.06,19.38,19.87,18.84,3.94%,,,
01.07.2020,0.117,"0,1730","0,1730","0,1120",-26.87%,,,
01.07.2021,0.066,"0,0760","0,0810","0,0630",-7.04%,,,
01.07.2022,29.74,27.74,31.52,26.79,6.59%,,,
01.08.2008,21.51,22.49,22.9,20.1,-4.57%,,,
01.08.2009,0.421,"0,5020","0,5350","0,3920",-11.55%,,,
01.08.2010,0.233,"0,2830","0,2960","0,2330",-17.67%,,,
01.08.2011,0.101,"0,2050","0,2180","0,0660",-50.73%,,,
01.08.2012,0.159,"0,1620","0,1970","0,1540",-1.85%,,,
01.08.2013,0.121,"0,1110","0,1390","0,1040",9.01%,,,
01.08.2014,0.089,"0,1140","0,1190","0,0780",-21.93%,,,
01.08.2015,0.382,"0,3240","0,3870","0,3060",20.89%,,,
01.08.2016,0.596,"0,5240","0,6160","0,4960",19.44%,,,
01.08.2017,12.25,12.12,12.76,11.96,0.25%,,,
01.08.2018,24.55,24.19,24.45,23.99,1.57%,,,
01.08.2019,17.73,20.11,18.73,16.99,-11.62%,,,
01.08.2020,0.122,"0,1290","0,1620","0,1120",4.27%,,,
01.08.2021,0.068,"0,0710","0,0860","0,0610",3.03%,,,
01.08.2022,34.83,29.77,34.56,29.32,17.11%,,,
01.09.2008,17.85,21.56,22.69,13.1,-17.02%,,,
01.09.2009,0.384,"0,4260","0,4360","0,3190",-8.79%,,,
01.09.2010,0.251,"0,2380","0,2710","0,2180",7.73%,,,
