Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,101.500000,103.720001,101.080002,102.949997,56.261288,3027300
2004-02-01,102.980003,105.220001,102.809998,105.160004,57.469040,2811400
2004-03-01,105.470001,107.669998,105.019997,106.910004,58.425404,3088300
2004-04-01,106.250000,106.430000,100.800003,101.260002,55.337711,2343900
2004-05-01,100.680000,102.870003,99.529999,102.750000,56.426422,2107900
2004-06-01,101.750000,102.269997,100.099998,101.919998,56.273006,1950500
2004-07-01,101.699997,102.970001,101.019997,102.330002,56.879116,1038400
2004-08-01,101.800003,104.750000,101.650002,104.529999,58.337788,1106100
2004-09-01,104.000000,104.690002,102.930000,104.190002,58.456509,1362600
2004-10-01,103.690002,105.750000,102.750000,105.330002,59.337933,1119900
2004-11-01,105.000000,105.989998,104.050003,104.820000,59.050610,1632400
2004-12-01,104.650002,107.029999,104.029999,105.809998,59.703552,2044200
2005-01-01,105.500000,106.400002,104.699997,105.820000,60.190998,3566700
2005-02-01,105.599998,107.320000,104.900002,105.099998,59.781433,2833800
2005-03-01,105.019997,106.199997,103.650002,105.330002,60.004150,3864500
2005-04-01,105.459999,107.449997,104.199997,106.900002,60.898518,3198000
2005-05-01,106.540001,107.449997,105.769997,107.290001,61.293541,2408200
2005-06-01,107.000000,107.900002,105.309998,107.230003,61.500320,2837200
2005-07-01,106.370003,106.449997,103.410004,103.910004,59.938061,2803600
2005-08-01,103.339996,105.860001,102.400002,105.849998,61.450798,3290400
2005-09-01,105.419998,106.000000,104.610001,105.269997,61.512455,3592500
2005-10-01,104.879997,104.889999,102.800003,103.580002,60.764347,3488400
2005-11-01,103.339996,104.000000,102.250000,103.330002,60.798458,3259500
2005-12-01,102.320000,103.330002,101.650002,102.820000,60.751743,3542400
2006-01-01,102.690002,103.489998,102.010002,102.849998,61.702133,5359000
2006-02-01,102.760002,103.199997,101.690002,102.849998,61.702133,3063500
2006-03-01,102.720001,102.800003,100.320000,100.650002,60.382332,3941000
2006-04-01,99.760002,100.349998,98.889999,99.900002,59.932365,4423200
2006-05-01,99.410004,100.199997,98.620003,99.699997,60.120037,3981800
2006-06-01,99.150002,100.059998,98.300003,99.570000,60.340576,5083700
2006-07-01,98.779999,100.720001,98.209999,100.510002,61.250603,3672800
2006-08-01,99.809998,101.739998,99.809998,101.610001,62.268669,3971200
2006-09-01,100.910004,101.599998,99.800003,101.150002,62.335304,3439000
2006-10-01,100.709999,100.980003,98.699997,100.620003,62.359730,4252600
2006-11-01,100.099998,101.239998,99.400002,101.129997,62.959629,3987800
2006-12-01,101.150002,101.650002,98.419998,98.800003,61.855186,4955000
2007-01-01,99.349998,99.480003,97.769997,99.029999,61.999195,4559700
2007-02-01,99.110001,101.430000,98.400002,100.989998,63.226196,4506500
2007-03-01,100.970001,101.660004,99.720001,101.040001,63.257568,3452000
2007-04-01,101.180000,102.250000,99.190002,101.339996,63.620506,3344100
2007-05-01,101.070000,101.089996,99.260002,99.629997,62.776226,3702500
2007-06-01,98.989998,99.199997,97.209999,98.970001,62.598816,4824400
2007-07-01,98.570000,100.809998,97.730003,100.800003,64.043633,4206300
2007-08-01,100.260002,101.400002,99.000000,101.180000,64.570160,4252400
2007-09-01,100.919998,102.750000,100.559998,102.029999,65.401321,3339700
2007-10-01,101.610001,103.800003,100.769997,102.800003,66.182701,3835800
2007-11-01,102.849998,109.099998,102.849998,106.699997,68.974075,6910800
2007-12-01,106.699997,106.970001,103.989998,105.800003,68.605865,5418100
2008-01-01,106.019997,110.570000,105.699997,109.580002,71.706123,8810600
2008-02-01,109.410004,110.580002,106.690002,110.570000,72.353966,11720300
2008-03-01,110.190002,112.110001,108.190002,109.900002,72.285645,14489800
2008-04-01,108.919998,109.620003,106.250000,107.110001,70.780846,10638100
2008-05-01,107.110001,109.059998,105.860001,106.779999,71.387405,10482200
2008-06-01,106.029999,108.199997,104.669998,107.849998,72.402847,9971900
2008-07-01,107.849998,109.169998,105.160004,106.470001,72.033653,11814700
2008-08-01,105.400002,107.010002,104.260002,106.360001,72.447601,9549700
2008-09-01,105.139999,106.589996,101.230003,101.300003,69.611618,14787500
2008-10-01,101.500000,102.599998,84.139999,92.370003,63.965263,20862100
2008-11-01,92.809998,96.089996,90.650002,93.180000,65.039787,13741200
2008-12-01,93.739998,102.199997,93.379997,99.239998,69.269653,14866200
2009-01-01,99.440002,100.870003,96.660004,99.199997,69.241707,17271400
2009-02-01,99.480003,101.029999,97.019997,97.019997,67.720100,23782400
2009-03-01,97.309998,103.650002,96.220001,102.750000,71.719627,23201200
2009-04-01,102.820000,102.849998,100.000000,100.440002,70.107239,21769900
